Timestamp,Team Name,Team Captain Discord Handle,Choose your map preferences [The Reef],Choose your map preferences [Musselforge Fitness],Choose your map preferences [Starfish Mainstage],Choose your map preferences [Humpback Pump Track],Choose your map preferences [Inkblot Art Academy],Choose your map preferences [Moray Towers],Choose your map preferences [Port Mackerel],Choose your map preferences [Sturgeon Shipyard],Choose your map preferences [Manta Maria],Choose your map preferences [Kelp Dome],Choose your map preferences [Snapper Canal],Choose your map preferences [Blackbelly Skatepark],Choose your map preferences [MakoMart],Choose your map preferences [Walleye Warehouse],Choose your map preferences [Shellendorf Institute],Choose your map preferences [Arowana Mall],Choose your map preferences [Goby Arena],Choose your map preferences [Piranha Pit],Strike a ranked mode (optional),Do you prefer to play Splat Zones only?,Would you like Turf War to be included in your map lists along other modes?,Team Captain's Nintendo Switch Friend Code,Choose your map preferences [Camp Triggerfish],Choose your map preferences [Wahoo World]
5/15/2018 22:32,Moist,MattieMooMoo#0078,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,No,8352-3491-3139,Neutral,Neutral
5/16/2018 2:40,Floaters Meso,MiPrettyVicious#5239,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,No,1445-2744-6996,Neutral,Neutral
5/17/2018 0:38,Memes R' Us,Viaving#2465,Not preferred,Neutral,Neutral,Preferred,Preferred,Not preferred,Preferred,Neutral,Not preferred,Neutral,Not preferred,Neutral,Preferred,Preferred,Not preferred,Neutral,Not preferred,Neutral,Clam Blitz,No,No,1514-8124-9619,Preferred,Neutral
5/20/2018 15:04,Amaterasu,Wambo#0448,Preferred,Neutral,Not preferred,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Not preferred,Neutral,Not preferred,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,,No,No,0071-8685-3426,Neutral,Neutral
5/21/2018 17:58,Sedna,SpeX#3661,Preferred,Preferred,Neutral,Preferred,Neutral,Not preferred,Not preferred,Preferred,Preferred,Neutral,Preferred,Neutral,Preferred,Neutral,Not preferred,Neutral,Neutral,Neutral,,No,No,6272-1100-6744,Neutral,Neutral
5/21/2018 18:02,Pandora, Kaito2K#1051 ,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,,No,No,3231-4248-7525,Preferred,Neutral
5/27/2018 5:55,Aurora,Karma#1068,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Not preferred,Not preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Clam Blitz,No,No,7650-5087-3130,Preferred,Neutral
5/27/2018 16:54,SquidAche,Antman#9115,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Not preferred,Neutral,Not preferred,Not preferred,Neutral,Neutral,,No,No,2627-3241-7131,Neutral,Neutral
5/28/2018 18:28,Electric Zoo,Slimy#1017,Neutral,Preferred,Neutral,Neutral,Preferred,Not preferred,Not preferred,Preferred,Preferred,Neutral,Preferred,Not preferred,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Clam Blitz,No,No,0189-5442-9220,Neutral,Neutral
5/28/2018 20:54,Sedna,speX#3661,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Rainmaker,No,No,8542-0616-4123,Neutral,Neutral
5/29/2018 2:59,Pandora, Kaito2K#1051 ,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,,No,No,3231-4248-7525,Preferred,Neutral
5/29/2018 6:26,Mörder Squid,MS√Edward∞ #9909,Preferred,Not preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Not preferred,Preferred,Neutral,Not preferred,Preferred,Neutral,Preferred,Neutral,Not preferred,Neutral,Not preferred,Clam Blitz,No,Yes,7565-1132-0044,Not preferred,Neutral
5/29/2018 21:47,white yoda,╲⎝⧹splat tim⧸⎠╱#1279,Neutral,Neutral,Preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Not preferred,Neutral,Not preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Clam Blitz,No,Yes,6403-0945-3703,Preferred,Neutral
5/30/2018 13:03,Dash Team,Dash Emeth [eb.TV]#1120,Preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Clam Blitz,No,No,4736-0425-4506,Preferred,Neutral
